Registered Voters,Ballots Cast,Turnout,
12,755,581,76.95%
13,786,596,75.83%
14,566,474,83.75%
15,640,460,71.88%
16,604,476,78.81%
17,663,452,68.17%
18,496,345,69.56%
19,147,118,80.27%
20,829,628,75.75%
21,564,440,78.01%
22,696,503,72.27%
23,632,448,70.89%
24,635,503,79.21%
25,669,524,78.33%
26,547,396,72.39%
27,658,462,70.21%
28,463,359,77.54%
29,614,451,73.45%
30,675,524,77.63%
31,448,330,73.66%
32,362,271,74.86%
33,323,260,80.50%
34,672,524,77.98%
35,668,562,84.13%
36,703,507,72.12%
37,669,492,73.54%
38,637,457,71.74%
39,787,446,56.67%
40,683,535,78.33%
41,531,343,64.60%
42,729,554,75.99%
43,784,627,79.97%
44,655,504,76.95%
45,689,494,71.70%
46,604,480,79.47%
47,400,316,79.00%
48,694,567,81.70%
49,753,626,83.13%
50,633,481,75.99%
51,881,704,79.91%
52,606,432,71.29%
53,664,455,68.52%
54,588,455,77.38%
55,706,534,75.64%
56,391,276,70.59%
57,742,576,77.63%
58,613,450,73.41%
59,704,523,74.29%
60,717,534,74.48%
61,491,410,83.50%
Total,"38,689","29,122",75.27%
,,,
Ward 35,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,915,561,61.31%
2,657,403,61.34%
3,745,515,69.13%
4,685,511,74.60%
5,672,464,69.05%
6,884,487,55.09%
7,781,597,76.44%
8,627,445,70.97%
9,738,544,73.71%
10,700,517,73.86%
11,943,528,55.99%
12,745,577,77.45%
13,346,188,54.34%
14,804,592,73.63%
15,658,451,68.54%
16,716,565,78.91%
17,878,610,69.48%
18,904,598,66.15%
19,673,522,77.56%
20,809,520,64.28%
21,771,479,62.13%
22,225,187,83.11%
23,556,314,56.47%
24,512,313,61.13%
25,769,572,74.38%
26,891,598,67.12%
27,761,552,72.54%
28,864,638,73.84%
29,734,576,78.47%
30,838,659,78.64%
31,439,334,76.08%
32,424,286,67.45%
33,670,427,63.73%
34,749,503,67.16%
35,740,444,60.00%
36,574,429,74.74%
Total,"25,397","17,506",68.93%
,,,
Ward 36,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,540,389,72.04%
2,475,363,76.42%
3,646,547,84.67%
4,508,315,62.01%
5,464,307,66.16%
6,615,411,66.83%
7,425,302,71.06%
8,534,374,70.04%
9,533,382,71.67%
10,371,278,74.93%
11,633,442,69.83%
12,368,282,76.63%
13,615,498,80.98%
14,587,430,73.25%
15,657,401,61.04%
16,653,552,84.53%
17,454,330,72.69%
18,608,444,73.03%
19,748,484,64.71%
20,822,544,66.18%
21,898,631,70.27%
22,762,549,72.05%
23,223,185,82.96%
24,537,457,85.10%
25,391,279,71.36%
26,676,427,63.17%
27,303,204,67.33%
28,631,408,64.66%
29,478,347,72.59%
30,623,457,73.35%
31,597,400,67.00%
32,564,400,70.92%
33,354,307,86.72%
34,368,293,79.62%
35,590,437,74.07%
36,499,351,70.34%
37,593,368,62.06%
38,329,226,68.69%
39,543,378,69.61%
40,727,478,65.75%
41,524,355,67.75%
42,497,354,71.23%
43,493,330,66.94%
44,472,404,85.59%
45,468,386,82.48%
46,393,304,77.35%
47,389,266,68.38%
48,510,347,68.04%
49,660,512,77.58%
50,475,331,69.68%
51,534,432,80.90%
52,704,461,65.48%
53,358,268,74.86%
54,610,524,85.90%
55,631,501,79.40%
Total,"29,660","21,432",72.26%
,,,
Ward 37,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,596,339,56.88%
2,714,486,68.07%
3,611,372,60.88%
4,814,562,69.04%
5,751,553,73.64%
6,721,553,76.70%
7,809,600,74.17%
8,760,533,70.13%
9,693,507,73.16%
10,546,435,79.67%
11,347,227,65.42%
12,636,449,70.60%
13,712,481,67.56%
14,813,614,75.52%
15,700,523,74.71%
16,656,478,72.87%
17,673,491,72.96%
18,767,526,68.58%
19,648,413,63.73%
20,726,513,70.66%
21,679,517,76.14%
22,525,380,72.38%
23,493,387,78.50%
24,729,534,73.25%
25,771,564,73.15%
26,708,553,78.11%
27,710,561,79.01%
28,707,512,72.42%
29,757,567,74.90%
30,437,315,72.08%
31,613,468,76.35%
32,759,527,69.43%
33,670,478,71.34%
34,688,508,73.84%
35,683,496,72.62%
36,703,509,72.40%
37,704,474,67.33%
38,752,575,76.46%
39,749,455,60.75%
40,656,490,74.70%
41,756,551,72.88%
42,689,428,62.12%
43,742,462,62.26%
Total,"29,373","20,966",71.38%
,,,
Ward 38,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,606,437,72.11%
2,593,360,60.71%
3,514,308,59.92%
4,289,199,68.86%
5,857,659,76.90%
6,666,400,60.06%
7,553,443,80.11%
8,394,272,69.04%
9,503,409,81.31%
10,605,475,78.51%
11,425,294,69.18%
12,546,355,65.02%
13,523,351,67.11%
14,468,322,68.80%
15,402,273,67.91%
16,629,392,62.32%
17,448,299,66.74%
18,475,347,73.05%
19,569,410,72.06%
20,613,472,77.00%
21,647,402,62.13%
22,560,376,67.14%
23,457,282,61.71%
24,544,327,60.11%
25,590,377,63.90%
26,444,282,63.51%
27,381,255,66.93%
28,439,286,65.15%
29,537,338,62.94%
30,542,372,68.63%
31,761,491,64.52%
32,608,431,70.89%
33,513,338,65.89%
34,489,304,62.17%
35,621,458,73.75%
36,535,361,67.48%
37,695,440,63.31%
38,666,464,69.67%
39,632,411,65.03%
40,444,298,67.12%
41,633,481,75.99%
42,549,400,72.86%
43,513,374,72.90%
44,516,375,72.67%
45,675,442,65.48%
46,489,344,70.35%
47,543,369,67.96%
48,455,327,71.87%
49,586,352,60.07%
50,547,389,71.12%
51,473,298,63.00%
52,588,407,69.22%
53,178,120,67.42%
Total,"28,528","19,448",68.17%
,,,
Ward 39,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,444,369,83.11%
2,735,542,73.74%
3,459,362,78.87%
4,352,296,84.09%
5,408,313,76.72%
6,601,434,72.21%
7,390,278,71.28%
8,678,454,66.96%
9,680,489,71.91%
10,454,331,72.91%
11,664,472,71.08%
12,773,464,60.03%
13,336,258,76.79%
14,677,492,72.67%
15,468,350,74.79%
16,610,406,66.56%
17,608,391,64.31%
18,651,481,73.89%
19,420,279,66.43%
20,424,350,82.55%
21,406,289,71.18%
22,777,521,67.05%
23,267,217,81.27%
24,737,466,63.23%
25,803,492,61.27%
26,543,396,72.93%
27,515,402,78.06%
28,659,486,73.75%
29,589,436,74.02%
30,499,293,58.72%
31,492,340,69.11%
32,500,348,69.60%
33,764,527,68.98%
34,775,544,70.19%
35,738,540,73.17%
36,518,331,63.90%
37,613,505,82.38%
38,481,396,82.33%
39,242,171,70.66%
40,413,291,70.46%
41,261,174,66.67%
42,415,341,82.17%
43,840,601,71.55%
44,982,654,66.60%
45,490,282,57.55%
46,576,384,66.67%
47,395,271,68.61%
Total,"26,122","18,509",70.86%
,,,
Ward 40,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,527,348,66.03%
2,431,325,75.41%
3,551,474,86.03%
4,470,377,80.21%
5,632,484,76.58%
6,558,481,86.20%
7,543,469,86.37%
8,185,133,71.89%
9,547,402,73.49%
10,628,426,67.83%
11,469,408,86.99%
12,374,303,81.02%
13,595,518,87.06%
14,693,540,77.92%
15,606,440,72.61%
16,522,444,85.06%
17,286,200,69.93%
18,710,529,74.51%
19,610,400,65.57%
20,478,362,75.73%
21,487,384,78.85%
22,354,289,81.64%
23,726,620,85.40%
24,475,321,67.58%
25,470,348,74.04%
26,542,438,80.81%
27,471,361,76.65%
28,676,524,77.51%
29,502,388,77.29%
30,482,395,81.95%
31,433,327,75.52%
32,414,268,64.73%
33,573,448,78.18%
34,407,292,71.74%
35,600,468,78.00%
36,684,516,75.44%
37,453,325,71.74%
38,370,259,70.00%
39,512,366,71.48%
40,307,267,86.97%
41,642,553,86.14%
42,614,508,82.74%
43,630,493,78.25%
44,497,349,70.22%
45,848,628,74.06%
46,605,511,84.46%
47,502,426,84.86%
48,463,339,73.22%
49,438,320,73.06%
Total,"25,592","19,794",77.34%
,,,
Ward 41,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,728,553,75.96%
2,695,556,80.00%
3,740,535,72.30%
4,715,560,78.32%
5,868,676,77.88%
6,545,436,80.00%
7,752,590,78.46%
8,723,538,74.41%
9,810,561,69.26%
10,552,420,76.09%
11,766,557,72.72%
12,732,490,66.94%
13,446,306,68.61%
14,558,476,85.30%
15,820,592,72.20%
16,713,536,75.18%
17,771,514,66.67%
18,802,500,62.34%
19,671,524,78.09%
20,721,539,74.76%
21,776,558,71.91%
22,630,464,73.65%
23,626,432,69.01%
24,758,505,66.62%
25,611,381,62.36%
26,369,237,64.23%
27,370,226,61.08%
28,805,567,70.43%
29,591,362,61.25%
30,805,610,75.78%
31,731,556,76.06%
32,535,400,74.77%
33,513,409,79.73%
34,544,425,78.13%
35,711,543,76.37%
36,697,510,73.17%
37,689,556,80.70%
38,732,514,70.22%
39,514,373,72.57%
40,684,539,78.80%
41,716,553,77.23%
42,717,581,81.03%
43,724,536,74.03%
44,618,477,77.18%
45,675,508,75.26%
46,494,379,76.72%
47,492,414,84.15%
48,647,392,60.59%
49,706,585,82.86%
50,805,544,67.58%
51,502,366,72.91%
52,794,623,78.46%
53,707,505,71.43%
54,416,351,84.38%
55,605,496,81.98%
56,712,576,80.90%
57,596,434,72.82%
Total,"37,745","27,946",74.04%
,,,
Ward 42,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,706,605,85.69%
2,574,433,75.44%
3,774,625,80.75%
4,563,491,87.21%
5,427,386,90.40%
6,787,659,83.74%
7,605,490,80.99%
8,749,618,82.51%
9,1806,1382,76.52%
10,443,367,82.84%
11,610,517,84.75%
12,444,369,83.11%
13,713,599,84.01%
14,815,638,78.28%
15,616,523,84.90%
16,419,353,84.25%
17,1220,924,75.74%
18,1375,1144,83.20%
19,415,334,80.48%
20,557,424,76.12%
21,563,458,81.35%
22,800,624,78.00%
23,634,516,81.39%
24,733,620,84.58%
25,543,429,79.01%
26,636,485,76.26%
27,704,556,78.98%
28,523,446,85.28%
29,622,498,80.06%
30,484,385,79.55%
31,629,522,82.99%
32,631,513,81.30%
33,575,528,91.83%
34,525,453,86.29%
35,423,356,84.16%
36,671,527,78.54%
37,505,401,79.41%
38,475,394,82.95%
39,382,248,64.92%
40,578,469,81.14%
41,1058,867,81.95%
42,401,316,78.80%
43,514,412,80.16%
44,990,793,80.10%
45,555,472,85.05%
46,777,518,66.67%
47,338,284,84.02%
48,573,447,78.01%
49,444,280,63.06%
50,723,614,84.92%
51,757,641,84.68%
52,299,267,89.30%
53,724,599,82.73%
54,517,438,84.72%
55,743,615,82.77%
56,987,821,83.18%
57,637,501,78.65%
58,637,498,78.18%
59,1117,875,78.33%
60,466,370,79.40%
61,459,362,78.87%
62,341,280,82.11%
63,457,402,87.96%
64,312,238,76.28%
65,750,573,76.40%
66,709,555,78.28%
67,1447,1220,84.31%
68,845,679,80.36%
69,643,499,77.60%
Total,"45,474","36,745",80.80%
,,,
Ward 43,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,750,617,82.27%
2,760,633,83.29%
3,665,576,86.62%
4,832,719,86.42%
5,659,549,83.31%
6,634,478,75.39%
7,743,587,79.00%
8,799,653,81.73%
9,695,600,86.33%
10,757,605,79.92%
11,610,518,84.92%
12,810,702,86.67%
13,424,357,84.20%
14,448,366,81.70%
15,510,450,88.24%
16,605,509,84.13%
17,768,657,85.55%
18,677,565,83.46%
19,694,537,77.38%
20,703,579,82.36%
21,717,590,82.29%
22,692,576,83.24%
23,481,427,88.77%
24,767,625,81.49%
25,616,520,84.42%
26,430,400,93.02%
27,544,456,83.82%
28,729,596,81.76%
29,673,541,80.39%
30,601,487,81.03%
31,778,654,84.06%
32,601,517,86.02%
33,665,538,80.90%
34,540,422,78.15%
35,682,575,84.31%
36,639,530,82.94%
37,666,576,86.49%
38,658,541,82.22%
39,421,358,85.04%
40,264,227,85.98%
41,442,362,81.90%
42,458,382,83.41%
43,722,482,66.76%
44,831,683,82.19%
45,258,201,77.91%
46,652,516,79.14%
47,589,474,80.48%
48,849,609,71.73%
49,621,524,84.38%
50,562,469,83.45%
51,750,574,76.53%
52,661,547,82.75%
53,735,584,79.46%
54,549,465,84.70%
55,564,463,82.09%
56,625,491,78.56%
57,735,543,73.88%
58,569,483,84.89%
59,490,425,86.73%
Total,"37,369","30,690",82.13%
,,,
Ward 44,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,464,413,89.01%
2,429,391,91.14%
3,502,430,85.66%
4,572,458,80.07%
5,904,718,79.42%
6,895,743,83.02%
7,590,519,87.97%
8,490,367,74.90%
9,674,595,88.28%
10,702,545,77.64%
11,775,664,85.68%
12,474,413,87.13%
13,518,451,87.07%
14,756,591,78.17%
15,846,686,81.09%
16,817,713,87.27%
17,692,587,84.83%
18,655,531,81.07%
19,462,421,91.13%
20,873,726,83.16%
21,1015,816,80.39%
22,727,579,79.64%
23,748,632,84.49%
24,572,509,88.99%
25,805,717,89.07%
26,689,584,84.76%
27,959,820,85.51%
28,647,531,82.07%
29,957,803,83.91%
30,672,553,82.29%
31,935,761,81.39%
32,530,448,84.53%
33,921,803,87.19%
34,511,449,87.87%
35,514,432,84.05%
36,890,756,84.94%
37,814,692,85.01%
38,858,676,78.79%
39,920,776,84.35%
40,837,698,83.39%
41,700,601,85.86%
42,998,804,80.56%
43,905,799,88.29%
44,809,677,83.68%
45,939,804,85.62%
46,459,420,91.50%
47,1084,902,83.21%
48,362,321,88.67%
49,877,759,86.55%
50,858,722,84.15%
51,692,567,81.94%
Total,"37,294","31,373",84.12%
,,,
Ward 45,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,579,389,67.18%
2,671,495,73.77%
3,594,439,73.91%
4,696,546,78.45%
5,622,495,79.58%
6,625,445,71.20%
7,665,490,73.68%
8,568,372,65.49%
9,666,478,71.77%
10,823,576,69.99%
11,590,428,72.54%
12,630,484,76.83%
13,673,482,71.62%
14,773,512,66.24%
15,648,467,72.07%
16,648,485,74.85%
17,530,368,69.43%
18,527,406,77.04%
19,548,438,79.93%
20,625,426,68.16%
21,612,438,71.57%
22,612,431,70.42%
23,615,462,75.12%
24,723,542,74.97%
25,654,471,72.02%
26,627,474,75.60%
27,584,404,69.18%
28,603,413,68.49%
29,707,534,75.53%
30,585,432,73.85%
31,679,503,74.08%
32,479,308,64.30%
33,557,385,69.12%
34,514,349,67.90%
35,600,450,75.00%
36,463,393,84.88%
37,729,502,68.86%
38,684,514,75.15%
39,648,500,77.16%
40,646,477,73.84%
41,475,323,68.00%
42,535,389,72.71%
43,602,393,65.28%
44,601,458,76.21%
45,534,363,67.98%
46,620,451,72.74%
47,638,450,70.53%
48,598,448,74.92%
49,530,403,76.04%
50,613,404,65.91%
51,632,441,69.78%
52,573,410,71.55%
53,485,357,73.61%
Total,"32,458","23,493",72.38%
,,,
Ward 46,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,815,700,85.89%
2,692,569,82.23%
3,795,649,81.64%
4,776,537,69.20%
5,712,538,75.56%
6,888,664,74.77%
7,476,410,86.13%
8,842,614,72.92%
9,731,609,83.31%
10,630,502,79.68%
11,817,598,73.19%
12,734,613,83.51%
13,781,637,81.56%
14,626,489,78.12%
15,710,613,86.34%
16,571,489,85.64%
17,778,634,81.49%
18,640,548,85.63%
19,786,660,83.97%
20,607,464,76.44%
21,317,248,78.23%
22,764,484,63.35%
23,571,439,76.88%
24,788,592,75.13%
25,958,709,74.01%
26,839,585,69.73%
27,944,759,80.40%
28,843,716,84.93%
29,515,438,85.05%
30,722,565,78.25%
31,663,590,88.99%
32,762,431,56.56%
33,753,609,80.88%
34,798,620,77.69%
35,843,628,74.50%
36,616,498,80.84%
37,547,461,84.28%
38,714,466,65.27%
39,734,616,83.92%
40,707,446,63.08%
41,850,580,68.24%
42,824,586,71.12%
43,889,705,79.30%
44,690,541,78.41%
45,754,595,78.91%
46,619,462,74.64%
47,522,307,58.81%
Total,"33,953","26,213",77.20%
,,,
Ward 47,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,740,661,89.32%
2,446,388,87.00%
3,463,414,89.42%
4,599,532,88.81%
5,686,579,84.40%
6,635,575,90.55%
7,627,530,84.53%
8,801,637,79.53%
9,431,377,87.47%
10,517,491,94.97%
11,1002,888,88.62%
12,612,527,86.11%
13,692,661,95.52%
14,520,415,79.81%
15,728,619,85.03%
16,562,477,84.88%
17,628,508,80.89%
18,706,624,88.39%
19,645,560,86.82%
20,746,623,83.51%
21,587,522,88.93%
22,584,512,87.67%
23,319,288,90.28%
24,860,727,84.53%
25,872,723,82.91%
26,1092,963,88.19%
27,645,571,88.53%
28,785,679,86.50%
29,768,630,82.03%
30,813,640,78.72%
31,696,599,86.06%
32,741,626,84.48%
33,625,525,84.00%
34,800,678,84.75%
35,911,814,89.35%
36,1017,895,88.00%
37,809,754,93.20%
38,710,655,92.25%
39,644,600,93.17%
40,641,561,87.52%
41,1085,923,85.07%
42,585,498,85.13%
43,469,405,86.35%
44,818,655,80.07%
45,646,563,87.15%
46,553,461,83.36%
47,602,531,88.21%
48,84,72,85.71%
49,498,385,77.31%
50,694,584,84.15%
51,391,338,86.45%
52,248,216,87.10%
Total,"34,378","29,679",86.33%
,,,
Ward 48,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,681,543,79.74%
2,489,392,80.16%
3,910,734,80.66%
4,769,572,74.38%
5,438,375,85.62%
6,872,629,72.13%
7,503,415,82.50%
8,440,355,80.68%
9,537,426,79.33%
10,414,344,83.09%
11,656,533,81.25%
12,652,527,80.83%
13,502,399,79.48%
14,820,564,68.78%
15,587,416,70.87%
16,585,485,82.91%
17,706,603,85.41%
18,568,393,69.19%
19,500,392,78.40%
20,332,269,81.02%
21,709,539,76.02%
22,606,522,86.14%
23,552,389,70.47%
24,681,440,64.61%
25,651,509,78.19%
26,614,501,81.60%
27,430,310,72.09%
28,415,340,81.93%
29,418,315,75.36%
30,492,425,86.38%
31,651,460,70.66%
32,599,468,78.13%
33,379,321,84.70%
34,812,582,71.67%
35,393,226,57.51%
36,419,352,84.01%
37,573,459,80.10%
38,549,460,83.79%
39,453,376,83.00%
40,501,375,74.85%
41,522,409,78.35%
42,472,393,83.26%
43,724,613,84.67%
44,715,569,79.58%
45,523,405,77.44%
46,487,396,81.31%
47,688,515,74.85%
48,583,475,81.48%
49,350,247,70.57%
50,601,507,84.36%
51,635,558,87.87%
52,577,412,71.40%
53,424,279,65.80%
54,657,470,71.54%
Total,"30,816","23,983",77.83%
,,,
Ward 49,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,729,531,72.84%
2,754,595,78.91%
3,379,321,84.70%
4,352,261,74.15%
5,674,501,74.33%
6,623,536,86.04%
7,456,376,82.46%
8,614,517,84.20%
9,498,395,79.32%
10,497,404,81.29%
11,497,352,70.82%
12,622,507,81.51%
13,617,535,86.71%
14,526,441,83.84%
15,698,458,65.62%
16,472,366,77.54%
17,276,185,67.03%
18,347,290,83.57%
19,687,424,61.72%
20,795,555,69.81%
21,208,174,83.65%
22,516,387,75.00%
23,569,444,78.03%
24,592,451,76.18%
25,609,539,88.51%
26,626,493,78.75%
27,906,768,84.77%
28,499,370,74.15%
29,691,584,84.52%
30,566,503,88.87%
31,439,370,84.28%
32,412,336,81.55%
33,435,367,84.37%
34,668,492,73.65%
35,649,544,83.82%
36,796,716,89.95%
37,817,698,85.43%
38,536,423,78.92%
39,629,479,76.15%
40,510,408,80.00%
41,557,448,80.43%
42,710,561,79.01%
Total,"24,053","19,105",79.43%
,,,
Ward 50,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,681,530,77.83%
2,751,543,72.30%
3,529,416,78.64%
4,613,452,73.74%
5,668,504,75.45%
6,453,315,69.54%
7,583,461,79.07%
8,700,428,61.14%
9,598,391,65.38%
10,588,407,69.22%
11,584,464,79.45%
12,298,240,80.54%
13,915,569,62.19%
14,228,187,82.02%
15,580,483,83.28%
16,238,205,86.13%
17,754,440,58.36%
18,602,393,65.28%
19,665,419,63.01%
20,606,444,73.27%
21,583,443,75.99%
22,879,633,72.01%
23,598,387,64.72%
24,874,575,65.79%
25,666,445,66.82%
26,725,416,57.38%
27,202,156,77.23%
28,694,453,65.27%
29,724,490,67.68%
30,568,378,66.55%
31,184,145,78.80%
32,771,531,68.87%
33,593,414,69.81%
34,679,425,62.59%
35,662,518,78.25%
36,600,441,73.50%
37,627,468,74.64%
38,268,240,89.55%
39,608,401,65.95%
40,719,544,75.66%
41,691,534,77.28%
42,527,400,75.90%
43,792,526,66.41%
44,530,365,68.87%
45,336,231,68.75%
Total,"26,734","18,850",70.51%